ahref,citation,class,parent_legislation,currency,currency_date,date_scraped
/laws/regulation/020001,O. Reg. 1/02: DESIGNATION OF OAK RIDGES MORAINE AREA,regulation,"Oak Ridges Moraine Conservation Act, 2001",regulation,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/01o31,"Oak Ridges Moraine Conservation Act, 2001, S.O. 2001, c. 31",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/99l12,"Licence Appeal Tribunal Act, 1999, S.O. 1999, c. 12, Sched. G",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/regulation/980444,O. Reg. 444/98: DISPOSITION OF SURPLUS REAL PROPERTY AND ACQUISITION OF REAL PROPERTY,regulation,Education Act,current regulation,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/93e28,"Environmental Bill of Rights, 1993, S.O. 1993, c. 28",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/90c33,"Consumer Reporting Act, R.S.O. 1990, c. C.33",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/90m30,"Ministry of Municipal Affairs and Housing Act, R.S.O. 1990, c. M.30",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/90r25,"Repair and Storage Liens Act, R.S.O. 1990, c. R.25",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/90c14,"Collection and Debt Settlement Services Act, R.S.O. 1990, c. C.14",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/90p13,"Planning Act, R.S.O. 1990, c. P.13",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/90d12,"Discriminatory Business Practices Act, R.S.O. 1990, c. D.12",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/90p10,"Personal Property Security Act, R.S.O. 1990, c. P.10",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/regulation/230373,O. Reg. 373/23: AMOUNTS TO BE EXCLUDED FROM RATES,regulation,"Ontario Energy Board Act, 1998",current regulation,"December  5, 2023",2023-12-16 23:10:43.847852
/laws/regulation/050620,O. Reg. 620/05: HIGH OCCUPANCY VEHICLE LANES,regulation,Highway Traffic Act,current regulation,"December  5, 2023",2023-12-16 23:10:43.847852
/laws/statute/23s21,"Supplementary Interim Appropriation for 2023-2024 Act, 2023, S.O. 2023, c. 21, Sched. 12",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/23v21,"Vaping Product Taxation Coordination Act, 2023, S.O. 2023, c. 21, Sched. 14",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/23i21,"Interim Appropriation for 2024-2025 Act, 2023, S.O. 2023, c. 21, Sched. 5",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/23g17,"GO Transit Station Funding Act, 2023, S.O. 2023, c. 17, Sched. 2",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/23s01,"St. Thomas - Central Elgin Boundary Adjustment Act, 2023, S.O. 2023, c. 1",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/21s08,"Securities Commission Act, 2021, S.O. 2021, c. 8, Sched. 9",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/20c36,"Credit Unions and Caisses Populaires Act, 2020, S.O. 2020, c. 36, Sched. 7",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/20m18,"Modernizing Ontario for People and Businesses Act, 2020, S.O. 2020, c. 18, Sched. 11",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/19o17,"Opioid Damages and Health Care Costs Recovery Act, 2019, S.O. 2019, c. 17, Sched. 2",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/19s07,"Simpler, Faster, Better Services Act, 2019, S.O. 2019, c. 7, Sched. 56",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/19c05,"Connecting Care Act, 2019, S.O. 2019, c. 5, Sched. 1",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/19c01,"Community Safety and Policing Act, 2019, S.O. 2019, c. 1, Sched. 1",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/17u34,"Université de l'Ontario français Act, 2017, S.O. 2017, c. 34, Sched. 43",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/17s26,"Smoke-Free Ontario Act, 2017, S.O. 2017, c. 26, Sched. 3",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/17p12,"Prevention of and Remedies for Human Trafficking Act, 2017, S.O. 2017, c. 12, Sched. 2",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/16f37,"Financial Services Regulatory Authority of Ontario Act, 2016, S.O. 2016, c. 37, Sched. 8",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/15i20b,"Investment Management Corporation of Ontario Act, 2015, S.O. 2015, c. 20, Sched. 19",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/10b25,"Broader Public Sector Accountability Act, 2010, S.O. 2010, c. 25",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/10e14,"Excellent Care for All Act, 2010, S.O. 2010, c. 14",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/10r11,"Retirement Homes Act, 2010, S.O. 2010, c. 11",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/08a13,"Algoma University Act, 2008, S.O. 2008, c. 13",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/07t11,"Taxation Act, 2007, S.O. 2007, c. 11, Sched. A",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/06c11,"City of Toronto Act, 2006, S.O. 2006, c. 11, Sched. A",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/02m30,"Motor Vehicle Dealers Act, 2002, S.O. 2002, c. 30, Sched. B",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/02o08e,"Ontario College of Art and Design University Act, 2002, S.O. 2002, c. 8, Sched. E",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/02u08,"University of Ontario Institute of Technology Act, 2002, S.O. 2002, c. 8, Sched. O",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/01m25,"Municipal Act, 2001, S.O. 2001, c. 25",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/97d27,"Development Charges Act, 1997, S.O. 1997, c. 27",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/97p21b,"Public Sector Labour Relations Transition Act, 1997, S.O. 1997, c. 21, Sched. B",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/regulation/960107,O. Reg. 107/96: CONTROLLED ACTS,regulation,"Regulated Health Professions Act, 1991",current regulation,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/regulation/940275,O. Reg. 275/94: GENERAL,regulation,"Nursing Act, 1991",current regulation,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/93f21,"Farm Registration and Farm Organizations Funding Act, 1993, S.O. 1993, c. 21",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/91n32,"Nursing Act, 1991, S.O. 1991, c. 32",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90p40,"Public Hospitals Act, R.S.O. 1990, c. P.40",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90c38,"Corporations Act, R.S.O. 1990, c. C.38",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90f35,"Fuel Tax Act, R.S.O. 1990, c. F.35",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90m33,"Ministry of Revenue Act, R.S.O. 1990, c. M.33",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90f31,"Freedom of Information and Protection of Privacy Act, R.S.O. 1990, c. F.31",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90c30,"Construction Act, R.S.O. 1990, c. C.30",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90p28,"Professional Engineers Act, R.S.O. 1990, c. P.28",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90s24,"St. Lawrence Parks Commission Act, R.S.O. 1990, c. S.24",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90c20,"Commodity Futures Act, R.S.O. 1990, c. C.20",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90m19,"Ministry of Training, Colleges and Universities Act, R.S.O. 1990, c. M.19",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90o18,"Ontario Heritage Act, R.S.O. 1990, c. O.18",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90p15,"Police Services Act, R.S.O. 1990, c. P.15",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90c10,"Charities Accounting Act, R.S.O. 1990, c. C.10",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90a09,"Agricultural and Horticultural Organizations Act, R.S.O. 1990, c. A.9",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90h07,"Health Protection and Promotion Act, R.S.O. 1990, c. H.7",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90p07,"Pay Equity Act, R.S.O. 1990, c. P.7",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90o06,"Ombudsman Act, R.S.O. 1990, c. O.6",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90g05,"Gasoline Tax Act, R.S.O. 1990, c. G.5",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90s05,"Securities Act, R.S.O. 1990, c. S.5",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/statute/90n02,"Niagara Escarpment Planning and Development Act, R.S.O. 1990, c. N.2",act,None,current statute,"December  4, 2023",2023-12-16 23:10:43.847852
/laws/regulation/220367,O. Reg. 367/22: DISCIPLINE COMMITTEE,regulation,"Trust in Real Estate Services Act, 2002",current regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/220365,O. Reg. 365/22: CODE OF ETHICS,regulation,"Trust in Real Estate Services Act, 2002",current regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/200536,O. Reg. 536/20: PERSONAL REAL ESTATE CORPORATIONS,regulation,"Trust in Real Estate Services Act, 2002",current regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/090187,O. Reg. 187/09: GENERAL,regulation,"Safety and Consumer Statutes Administration Act, 1996",current regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/statute/09o24,"Ontario Labour Mobility Act, 2009, S.O. 2009, c. 24",act,None,current statute,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/080075,O. Reg. 75/08: DESIGNATIONS,regulation,"Regulatory Modernization Act, 2007",current regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/070407,O. Reg. 407/07: EXEMPTIONS FROM THE REQUIREMENTS TO BE LICENSED,regulation,"Mortgage Brokerages, Lenders and Administrators Act, 2006",current regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/060590,O. Reg. 590/06: LICENSING POWERS,regulation,"City of Toronto Act, 2006",current regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/060583,O. Reg. 583/06: LICENSING POWERS,regulation,"Municipal Act, 2001",current regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/statute/06r17,"Residential Tenancies Act, 2006, S.O. 2006, c. 17",act,None,current statute,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/050580,O. Reg. 580/05: CODE OF ETHICS,regulation,"Real Estate and Business Brokers Act, 2002",regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/050579,"O. Reg. 579/05: EDUCATIONAL REQUIREMENTS, INSURANCE, RECORDS AND OTHER MATTERS",regulation,"Trust in Real Estate Services Act, 2002",current regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/050568,O. Reg. 568/05: DELEGATION OF REGULATION-MAKING AUTHORITY TO THE MINISTER,regulation,"Trust in Real Estate Services Act, 2002",current regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/050567,O. Reg. 567/05: GENERAL,regulation,"Trust in Real Estate Services Act, 2002",current regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/050026,O. Reg. 26/05: GENERAL,regulation,"Travel Industry Act, 2002",current regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/050017,O. Reg. 17/05: GENERAL,regulation,"Consumer Protection Act, 2002",current regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/statute/02r30,"Trust in Real Estate Services Act, 2002, S.O. 2002, c. 30, Sched. C",act,None,current statute,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/010285,"O. Reg. 285/01: WHEN WORK DEEMED TO BE PERFORMED, EXEMPTIONS AND SPECIAL RULES",regulation,"Employment Standards Act, 2000",current regulation,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/statute/96s19,"Safety and Consumer Statutes Administration Act, 1996, S.O. 1996, c. 19",act,None,current statute,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/statute/93t15,"Toronto Islands Residential Community Stewardship Act, 1993, S.O. 1993, c. 15",act,None,current statute,"December  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/180468,O. Reg. 468/18: GENERAL,regulation,"Cannabis Licence Act, 2018",current regulation,"November 30, 2023",2023-12-16 23:10:43.847852
/laws/regulation/960456,O. Reg. 456/96: GENERAL,regulation,"Victims' Bill of Rights, 1995",current regulation,"November 30, 2023",2023-12-16 23:10:43.847852
/laws/regulation/230099,O. Reg. 99/23: LICENSING - TEMPORARY HELP AGENCIES AND RECRUITERS,regulation,"Employment Standards Act, 2000",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/230082,O. Reg. 82/23: ONTARIO LEARN AND STAY GRANT,regulation,"Ministry of Training, Colleges and Universities Act",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/220246,O. Reg. 246/22: GENERAL,regulation,"Fixing Long-Term Care Act, 2021",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/200768,O. Reg. 768/20: ONTARIO STUDENT GRANTS AND ONTARIO STUDENT LOANS FOR MICRO-CREDENTIALS,regulation,"Ministry of Training, Colleges and Universities Act",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/190316,O. Reg. 316/19: DETERMINATION OF GEARED-TO-INCOME RENT UNDER SECTION 50 OF THE ACT,regulation,"Housing Services Act, 2011",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/180156,O. Reg. 156/18: GENERAL MATTERS UNDER THE AUTHORITY OF THE MINISTER,regulation,"Child, Youth and Family Services Act, 2017",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/170070,O. Reg. 70/17: ONTARIO STUDENT GRANTS AND ONTARIO STUDENT LOANS,regulation,"Ministry of Training, Colleges and Universities Act",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/150437,O. Reg. 437/15: FEES,regulation,Healing Arts Radiation Protection Act,current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/110367,O. Reg. 367/11: GENERAL,regulation,"Housing Services Act, 2011",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/110191,O. Reg. 191/11: INTEGRATED ACCESSIBILITY STANDARDS,regulation,"Accessibility for Ontarians with Disabilities Act, 2005",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/100322,O. Reg. 322/10: LETTERS OF PERMISSION - EARLY CHILDHOOD EDUCATORS,regulation,Education Act,current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/090106,O. Reg. 106/09: DISPOSAL OF DEAD FARM ANIMALS,regulation,"Nutrient Management Act, 2002",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/060415,O. Reg. 415/06: GENERAL,regulation,"Private Career Colleges Act, 2005",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/060414,O. Reg. 414/06: TRAINING COMPLETION ASSURANCE FUND AND OTHER FINANCIAL MATTERS,regulation,"Private Career Colleges Act, 2005",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/040153,O. Reg. 153/04: RECORDS OF SITE CONDITION - PART XV.1 OF THE ACT,regulation,Environmental Protection Act,current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/030267,O. Reg. 267/03: GENERAL,regulation,"Nutrient Management Act, 2002",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/010268,"O. Reg. 268/01: ONTARIO STUDENT LOANS MADE AUGUST 1, 2001 TO JULY 31, 2017",regulation,"Ministry of Training, Colleges and Universities Act",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/950442,O. Reg. 442/95: GENERAL,regulation,"Business Regulation Reform Act, 1994",current regulation,"November 29, 2023",2023-12-16 23:10:43.847852
/laws/regulation/180509,O. Reg. 509/18: ENERGY AND WATER EFFICIENCY - APPLIANCES AND PRODUCTS,regulation,"Electricity Act, 1998",current regulation,"November 27, 2023",2023-12-16 23:10:43.847852
/laws/regulation/990114,O. Reg. 114/99: FAMILY LAW RULES,regulation,Courts of Justice Act,current regulation,"November 27, 2023",2023-12-16 23:10:43.847852
/laws/regulation/180506,O. Reg. 506/18: REPORTING OF ENERGY CONSUMPTION AND WATER USE,regulation,"Electricity Act, 1998",current regulation,"November 24, 2023",2023-12-16 23:10:43.847852
/laws/regulation/900950,"R.R.O. 1990, Reg. 950: PROCEEDINGS COMMENCED BY CERTIFICATE OF OFFENCE",regulation,Provincial Offences Act,current regulation,"November 24, 2023",2023-12-16 23:10:43.847852
/laws/regulation/900737,"R.R.O. 1990, Reg. 737: LOCAL SERVICES BOARDS",regulation,Northern Services Boards Act,current regulation,"November 24, 2023",2023-12-16 23:10:43.847852
/laws/regulation/230167,O. Reg. 167/23: GENERAL,regulation,"Towing and Storage Safety and Enforcement Act, 2021",current regulation,"November 23, 2023",2023-12-16 23:10:43.847852
/laws/regulation/050413,"O. Reg. 413/05: VEHICLE WEIGHTS AND DIMENSIONS - FOR SAFE, PRODUCTIVE AND INFRASTRUCTURE-FRIENDLY VEHICLES",regulation,Highway Traffic Act,current regulation,"November 23, 2023",2023-12-16 23:10:43.847852
/laws/regulation/040329,O. Reg. 329/04: GENERAL,regulation,"Personal Health Information Protection Act, 2004",current regulation,"November 14, 2023",2023-12-16 23:10:43.847852
/laws/regulation/210679,O. Reg. 679/21: COMMUNITY NET METERING PROJECTS,regulation,"Ontario Energy Board Act, 1998",current regulation,"November 10, 2023",2023-12-16 23:10:43.847852
/laws/regulation/100389,O. Reg. 389/10: GENERAL,regulation,"Energy Consumer Protection Act, 2010",current regulation,"November 10, 2023",2023-12-16 23:10:43.847852
/laws/regulation/010288,O. Reg. 288/01: TERMINATION AND SEVERANCE OF EMPLOYMENT,regulation,"Employment Standards Act, 2000",current regulation,"November 10, 2023",2023-12-16 23:10:43.847852
/laws/regulation/070222,O. Reg. 222/07: ENVIRONMENTAL PENALTIES,regulation,Environmental Protection Act,current regulation,"November  9, 2023",2023-12-16 23:10:43.847852
/laws/regulation/980664,O. Reg. 664/98: FISH LICENSING,regulation,"Fish and Wildlife Conservation Act, 1997",current regulation,"November  8, 2023",2023-12-16 23:10:43.847852
/laws/regulation/900194,"R.R.O. 1990, Reg. 194: RULES OF CIVIL PROCEDURE",regulation,Courts of Justice Act,current regulation,"November  4, 2023",2023-12-16 23:10:43.847852
/laws/regulation/230333,O. Reg. 333/23: ONTARIO INFRASTRUCTURE BANK,regulation,Development Corporations Act,current regulation,"November  2, 2023",2023-12-16 23:10:43.847852
/laws/regulation/230330,O. Reg. 330/23: DESCRIPTION OF ANNEXED AREA,regulation,"St. Thomas - Central Elgin Boundary Adjustment Act, 2023",current regulation,"November  2, 2023",2023-12-16 23:10:43.847852
/laws/regulation/070336,O. Reg. 336/07: DESIGNATED PUBLIC BODIES,regulation,"Archives and Recordkeeping Act, 2006",current regulation,"November  2, 2023",2023-12-16 23:10:43.847852
/laws/regulation/900460,"R.R.O. 1990, Reg. 460: GENERAL",regulation,Freedom of Information and Protection of Privacy Act,current regulation,"November  2, 2023",2023-12-16 23:10:43.847852
/laws/regulation/160363,O. Reg. 363/16: GENERAL,regulation,"Ontario Rebate for Electricity Consumers Act, 2016",current regulation,"November  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/900941,"R.R.O. 1990, Reg. 941: GENERAL",regulation,Professional Engineers Act,current regulation,"November  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/220530,O. Reg. 530/22: PART VI.1 OF THE ACT,regulation,"Municipal Act, 2001",current regulation,"October 31, 2023",2023-12-16 23:10:43.847852
/laws/statute/16r21,"Remembrance Week Act, 2016, S.O. 2016, c. 21",act,None,current statute,"October 26, 2023",2023-12-16 23:10:43.847852
/laws/statute/09e32,"Employment Protection for Foreign Nationals Act, 2009, S.O. 2009, c. 32",act,None,current statute,"October 26, 2023",2023-12-16 23:10:43.847852
/laws/statute/06f31,"Fair Access to Regulated Professions and Compulsory Trades Act, 2006, S.O. 2006, c. 31",act,None,current statute,"October 26, 2023",2023-12-16 23:10:43.847852
/laws/statute/00e41,"Employment Standards Act, 2000, S.O. 2000, c. 41",act,None,current statute,"October 26, 2023",2023-12-16 23:10:43.847852
/laws/statute/97o25b,"Ontario Disability Support Program Act, 1997, S.O. 1997, c. 25, Sched. B",act,None,current statute,"October 26, 2023",2023-12-16 23:10:43.847852
/laws/statute/97o25a,"Ontario Works Act, 1997, S.O. 1997, c. 25, Sched. A",act,None,current statute,"October 26, 2023",2023-12-16 23:10:43.847852
/laws/statute/90o01,"Occupational Health and Safety Act, R.S.O. 1990, c. O.1",act,None,current statute,"October 26, 2023",2023-12-16 23:10:43.847852
/laws/regulation/180014,O. Reg. 14/18: ONTARIO ELECTRICITY SUPPORT PROGRAM,regulation,"Ontario Energy Board Act, 1998",current regulation,"October 19, 2023",2023-12-16 23:10:43.847852
/laws/regulation/150246,O. Reg. 246/15: GENERAL,regulation,"Highway 407 East Act, 2012",current regulation,"October 17, 2023",2023-12-16 23:10:43.847852
/laws/regulation/150137,O. Reg. 137/15: GENERAL,regulation,"Child Care and Early Years Act, 2014",current regulation,"October 11, 2023",2023-12-16 23:10:43.847852
/laws/regulation/230324,O. Reg. 324/23: ADMINISTRATIVE PENALTIES,regulation,"Building Broadband Faster Act, 2021",current regulation,"October  5, 2023",2023-12-16 23:10:43.847852
/laws/regulation/180135,O. Reg. 135/18: DESIGNATION OF DISEASES,regulation,Health Protection and Promotion Act,current regulation,"October  4, 2023",2023-12-16 23:10:43.847852
/laws/regulation/150311,O. Reg. 311/15: CONVERSIONS AND TRANSFERS OF ASSETS UNDER SECTION 80.4 OF THE ACT AND CONVERSIONS UNDER SECTION 81.0.1 OF THE ACT,regulation,Pension Benefits Act,current regulation,"October  3, 2023",2023-12-16 23:10:43.847852
/laws/regulation/050618,O. Reg. 618/05: DESIGNATION OF BUS BY-PASS SHOULDERS ON KING'S HIGHWAY,regulation,Highway Traffic Act,current regulation,"October  3, 2023",2023-12-16 23:10:43.847852
/laws/regulation/900909,"R.R.O. 1990, Reg. 909: GENERAL",regulation,Pension Benefits Act,current regulation,"October  3, 2023",2023-12-16 23:10:43.847852
/laws/regulation/900778,"R.R.O. 1990, Reg. 778: GENERAL",regulation,Ministry of Correctional Services Act,current regulation,"October  2, 2023",2023-12-16 23:10:43.847852
/laws/regulation/230316,O. Reg. 316/23: SERVICE OF DOCUMENTS,regulation,"Provincial Animal Welfare Services Act, 2019",current regulation,"October  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/210693,O. Reg. 693/21: EXTENSION OF TEMPORARY SUSPENSION PERIOD,regulation,"Not-for-Profit Corporations Act, 2010",regulation,"October  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/200544,O. Reg. 544/20: EXTENSION OF TEMPORARY SUSPENSION PERIOD,regulation,Corporations Act,regulation,"October  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/200543,O. Reg. 543/20: EXTENSION OF TEMPORARY SUSPENSION PERIOD,regulation,Co-operative Corporations Act,regulation,"October  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/200542,O. Reg. 542/20: EXTENSION OF TEMPORARY SUSPENSION PERIOD,regulation,Business Corporations Act,regulation,"October  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/200541,O. Reg. 541/20: EXTENSION OF TEMPORARY SUSPENSION PERIOD,regulation,"Condominium Act, 1998",regulation,"October  1, 2023",2023-12-16 23:10:43.847852
/laws/regulation/190447,O. Reg. 447/19: MINISTERIAL PRESCRIPTIONS,regulation,"Provincial Animal Welfare Services Act, 2019",current regulation,"October  1, 2023",2023-12-16 23:10:43.847852
/laws/statute/19p13,"Provincial Animal Welfare Services Act, 2019, S.O. 2019, c. 13",act,None,current statute,"October  1, 2023",2023-12-16 23:10:43.847852
